[2026-07-02 19:10:57] tick=sample-candles-1782987057 routine=지표추종매매 stock=003550 LG signal=SELL reason=매도조건 충족(OR) queue=queued
[2026-07-02 19:21:33] tick=manual_signal_probe_helper_test routine=지표추종매매 stock=003550 LG signal=SELL reason=매도조건 충족(OR) queue=queued
[2026-07-02 19:28:39] tick=manual_signal_probe_helper_test routine=지표추종매매 stock=003550 LG signal=SELL reason=매도조건 충족(OR) queue=duplicate
[2026-07-02 19:43:40] tick=adapter_save_probe_test routine=지표추종매매 stock=003550 LG signal=BUY reason=매수조건 충족 queue=queued
[2026-07-02 20:40:09] tick=2026-07-02 20:40 routine=지표추종매매 stock=000660 SK하이닉스 signal=SKIP reason=감시 대상 아님
[2026-07-02 20:40:09] tick=2026-07-02 20:40 routine=지표추종매매 stock=003550 LG signal=SKIP reason=감시 대상 아님
[2026-07-02 20:40:09] tick=2026-07-02 20:40 routine=지표추종매매 stock=005380 현대차 signal=SKIP reason=감시 대상 아님
[2026-07-02 20:40:09] tick=2026-07-02 20:40 routine=지표추종매매 stock=005930 삼성전자 signal=SKIP reason=감시 대상 아님
[2026-07-02 20:40:09] tick=2026-07-02 20:40 routine=지표추종매매 stock=006400 삼성SDI signal=SKIP reason=감시 대상 아님
[2026-07-02 20:40:09] tick=2026-07-02 20:40 routine=지표추종매매 stock=012330 현대모비스 signal=SKIP reason=감시 대상 아님
[2026-07-02 20:40:09] tick=2026-07-02 20:40 routine=지표추종매매 stock=028260 삼성물산 signal=SKIP reason=감시 대상 아님
[2026-07-02 20:40:09] tick=2026-07-02 20:40 routine=지표추종매매 stock=035420 NAVER signal=SKIP reason=감시 대상 아님
[2026-07-02 20:40:09] tick=2026-07-02 20:40 routine=지표추종매매 stock=035720 카카오 signal=SKIP reason=감시 대상 아님
[2026-07-02 20:40:09] tick=2026-07-02 20:40 routine=지표추종매매 stock=051910 LG화학 signal=SKIP reason=감시 대상 아님
[2026-07-02 20:40:09] tick=2026-07-02 20:40 routine=지표추종매매 stock=055550 신한지주 signal=SKIP reason=감시 대상 아님
[2026-07-02 20:40:09] tick=2026-07-02 20:40 routine=지표추종매매 stock=066570 LG전자 signal=SKIP reason=감시 대상 아님
[2026-07-02 20:40:09] tick=2026-07-02 20:40 routine=지표추종매매 stock=068270 셀트리온 signal=SKIP reason=감시 대상 아님
